legacy_area,legacy_module,legacy_cluster,legacy_role,source_hint,modern_service,modern_controller,modern_ui,test_target,parity_status,risk,notes
VALUTA,cimlet,denomination,cimlet kezeles,Anti\VALUTA\DLL\CIMLET\MAKEDLL,DenominationService,treasury endpoints,frontend-react/src/pages/cashdesk/DenominationPage.tsx,suggested: denomination service test,partial,P1,
VALUTA,cimlctrl,denomination,cimlet ellenorzes,Anti\VALUTA\DLL\CIMLCTRL\MAKEDLL,DenominationService,treasury endpoints,frontend-react/src/pages/treasury/StockMatrix.tsx,suggested: denomination validator test,partial,P1,
VALUTA,cimlmenu,denomination,cimlet menu,Anti\VALUTA\DLL\CIMLMENU\MAKEDLL,DenominationService,treasury endpoints,frontend-react/src/pages/treasury/TreasuryDashboard.tsx,suggested: UI menu test,partial,P2,
VALUTA,cimlnyom,denomination,cimlet nyomtatas,Anti\VALUTA\DLL\CIMLNYOM\MAKEDLL,EscPosReceiptService;ReceiptGeneratorService,receipt endpoints,frontend-react/src/pages/receipts/ReceiptPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/DailyClosingPdfServiceTest.java,partial,P1,
VALUTA,bizodisp,receipt-browse,bizonylat tallozo,Anti\VALUTA\DLL\BIZODISP\MAKEDLL,ReceiptQueryService,receipt endpoints,frontend-react/src/pages/receipts/ReceiptPage.tsx,frontend-react/src/pages/transactions/TransactionListPage.test.tsx,partial,P1,
VALUTA,bloknyom,receipt-print,blokknyomtatas,Anti\VALUTA\DLL\BLOKNYOM\MAKEDLL,EscPosReceiptService;ReceiptGeneratorService,receipt endpoints,frontend-react/src/pages/receipts/ReceiptPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/DailyClosingPdfServiceTest.java,full,P0,
VALUTA,bigctrl,customer-aml,AML es limit kontroll,Anti\VALUTA\DLL\BIGCTRL\MAKEDLL,AmlService,AML endpoints,frontend-react/src/pages/customers/CustomerListPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/TransactionServiceIdentificationTest.java,partial,P0,quarter/8-day logic gap
VALUTA,ugyfel,customer-aml,ugyfelkezeles,Anti\VALUTA\DLL\UGYFEL*,CustomerService,customer endpoints,frontend-react/src/pages/customers/CustomerListPage.tsx,frontend-react/src/pages/customers/CustomerListPage.test.tsx,full,P0,
VALUTA,terror,aml-sanctions,szankcios ellenorzes,Anti\VALUTA\DLL\TERROR\MAKEDLL,BlacklistService;AmlService,blacklist endpoints,frontend-react/src/pages/blacklist/BlacklistPage.tsx,suggested: blacklist service test,partial,P0,
VALUTA,prosbe,auth-cashier,penztaros login,Anti\VALUTA\DLL\PROSBE\MAKEDLL,Auth stack,auth endpoints,frontend-react/src/pages/auth/LoginPage.tsx,frontend-react/src/pages/auth/LoginPage.test.tsx,full,P0,
VALUTA,proski,auth-cashier,penztaros logout,Anti\VALUTA\DLL\PROSKI\MAKEDLL,Auth stack,auth endpoints,frontend-react/src/pages/auth/LoginPage.tsx,frontend-react/src/stores/authStore.test.ts,full,P1,
VALUTA,prostmk,auth-cashier,penztaros karbantartas,Anti\VALUTA\DLL\PROSTMK\MAKEDLL,WorkerManagementService,user endpoints,frontend-react/src/pages/settings/UserPage.tsx,suggested: user admin test,partial,P1,
VALUTA,super,supervisor,supervisor override,Anti\VALUTA\DLL\SUPER\MAKEDLL,RBAC plus override rules,protected controllers,auth and approval flows,frontend-react/src/pages/auth/LoginPage.rbac.test.tsx,partial,P0,
VALUTA,terminal,terminal,terminal integration,Anti\VALUTA\DLL\TERMINAL\MAKEDLL,PosTerminalService,PosTerminalController,transaction and settings flows,suggested: POS controller test,partial,P2,
VALUTA,wunion,western-union,Western Union,Anti\VALUTA\DLL\WUNION\MAKEDLL,WesternUnionService,WesternUnionController,frontend-react/src/pages/westernunion/WesternUnionPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/WesternUnionServiceTest.java,full,P1,
VALUTA,foglalo,reservation,foglalas,Anti\VALUTA\DLL\FOGLALO\MAKEDLL,ReservationService,ReservationController,frontend-react/src/pages/reservations/ReservationPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/ReservationServiceTest.java,full,P1,
VALUTA,korlevel,circular,korlevel,Anti\VALUTA\DLL\KORLEVEL\MAKEDLL,CircularService,CircularController,frontend-react/src/pages/circulars/CircularPage.tsx,suggested: circular service test,full,P2,
VALUTA,kezdij,fee,kezelesi dij,Anti\VALUTA\DLL\KEZDIJ\MAKEDLL,HandlingFeeService,fee endpoints,frontend-react/src/pages/fees/FeePackagePage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/HandlingFeeTransactionServiceTest.java,full,P1,
VALUTA,pillall,cash-stock,pillanatnyi allas,Anti\VALUTA\DLL\PILLALL\MAKEDLL,StockService,treasury/report endpoints,frontend-react/src/pages/treasury/TreasuryDashboard.tsx,suggested: stock summary test,partial,P1,
VALUTA,keszlex,cash-stock,keszlet export,Anti\VALUTA\DLL\KESZLEX\MAKEDLL,StockExportService,treasury/report endpoints,frontend-react/src/pages/treasury/TrbExportPage.tsx,suggested: export service test,partial,P1,
VALUTA,ptartmk,registry,penztar karbantartas,Anti\VALUTA\DLL\PTARTMK\MAKEDLL,BranchService,BranchController,frontend-react/src/pages/branches/BranchPage.tsx,suggested: branch controller test,full,P1,
VALUTA,listak,reports,listak es riportok,Anti\VALUTA\DLL\LISTAK\MAKEDLL,ReportService,report endpoints,frontend-react/src/pages/reports/ReportsPage.tsx,frontend-react/src/pages/reports/ReportsPage.test.tsx,full,P1,
VALUTA,regen,regeneration,allapot regeneracio,Anti\VALUTA\DLL\REGEN\MAKEDLL,DailyClosingArchiveService,admin/report endpoints,admin tools,backend/src/test/java/hu/puzzleir/valuta/service/DailyClosingArchiveServiceTest.java,partial,P1,
VALUTA,qrgener,display,QR generalas,Anti\VALUTA\DLL\QRGENER\MAKEDLL,ReceiptGeneratorService,receipt endpoints,QR and receipt flows,frontend-react/src/utils/qrcode.test.ts,full,P2,
VALUTA,otp,terminal,OTP POS,Anti\VALUTA\DLL\OTP\MAKEDLL,PosTerminalService,PosTerminalController,POS flows,suggested: POS controller test,partial,P2,
ERTEKTAR,atadvet,vault-transfer,treasury transfer,Anti\ERTEKTAR\etdll\atadvet,VaultTransferService,ErtektarController,frontend-react/src/pages/treasury/TreasuryDashboard.tsx,backend/src/test/java/hu/puzzleir/valuta/controller/ErtektarControllerAliasTest.java,full,P0,
ERTEKTAR,penztarak,registry,treasury branch registry,Anti\ERTEKTAR\etdll\penztarak,BranchService,BranchController,frontend-react/src/pages/branches/BranchPage.tsx,suggested: branch alias test,partial,P1,
ERTEKTAR,napzar,closing,treasury close,Anti\ERTEKTAR\etdll\napzar,DailyClosingService,closing endpoints,frontend-react/src/pages/closing/EveningClosingPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/DailyClosingServiceExtendedTest.java,partial,P1,
ERTEKTAR,havizar,closing,treasury monthly close,Anti\ERTEKTAR\etdll\havizar,MonthlyClosingService,closing endpoints,frontend-react/src/pages/closing/MonthlyClosingPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/MonthlyClosingServiceTest.java,partial,P1,
ERTEKTAR,bloknyom,receipt-print,treasury receipt output,Anti\ERTEKTAR\etdll\bloknyom,EscPosReceiptService;ReceiptGeneratorService,receipt endpoints,frontend-react/src/pages/receipts/ReceiptPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/DailyClosingPdfServiceTest.java,partial,P1,
ERTEKTAR,pillkesz,cash-stock,treasury stock snapshot,Anti\ERTEKTAR\etdll\pillkesz,StockService,ErtektarController,frontend-react/src/pages/treasury/StockMatrix.tsx,backend/src/test/java/hu/puzzleir/valuta/controller/ErtektarControllerAliasTest.java,partial,P1,
