relpath,ext,size,status
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pillanatnyi pénztár állás kimutatása2 .jpeg",jpeg,92821,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pillanatnyi pénztárállás kimutatása.jpeg",jpeg,89532,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Szállítás pénztárak között menü.jpeg",jpeg,277988,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Társpénztár kiválasztása új pénztár felvétele.jpeg",jpeg,217848,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Bizonylatok\2024. március. 1. havi dekádzárás.jpeg",jpeg,4038593,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Bizonylatok\Zárás-Értéktár.jpeg",jpeg,6333970,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Bizonylatok\pénztári átvétel.jpeg",jpeg,3829843,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások csak jelszóval_ Kezelési költség számítások.jpeg",jpeg,226567,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások csak jelszóval_ alapfunkció.jpeg",jpeg,120447,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások csak jelszóval_ futófény beállítások.jpeg",jpeg,155690,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ Alapfunkciók.jpeg",jpeg,115381,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ Alkalmazások .jpeg",jpeg,224694,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ Árfolyam kijelző beállításai.jpeg",jpeg,204854,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ Bankkártyás fizetések.jpeg",jpeg,118573,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ IP cím beállítás.jpeg",jpeg,151005,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ adatok beküldése a szerverre.jpeg",jpeg,158385,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ nyomtató beállítás.jpeg",jpeg,150938,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ szkenner beállítás.jpeg",jpeg,136049,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások menü külön jelszóval.jpeg",jpeg,123670,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Bizonylatok szűrése.jpeg",jpeg,222876,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Bizonylatok szűrése2.jpeg",jpeg,199158,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Cimletezés menü.jpeg",jpeg,119652,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Címletezés - Zárások napi pénztárzárás.jpeg",jpeg,114750,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Címletezés -Zárások menü.jpeg",jpeg,129275,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Címletezés nyomtatása.jpeg",jpeg,165807,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Dekédzárás.jpeg",jpeg,161869,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Egyéb feladatok menü(1).jpeg",jpeg,190118,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Egyéb feladatok menü.jpeg",jpeg,215671,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Kezelési költségek címletezése.jpeg",jpeg,167427,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Különféle listák menü .jpeg",jpeg,146293,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_2379dd5f-04ce-4683-8347-41c85e1e7153.jpeg",jpeg,119718,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_26016104-5f16-4310-b260-ca580f7d7714.jpeg",jpeg,209192,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_2ecc1a32-0d7e-4955-9c79-40dd7aa746a3.jpeg",jpeg,105939,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_395d793b-80d1-490d-b777-a3b997ce5c52.jpeg",jpeg,194083,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_490e4846-3506-4d7a-b2a4-66ac739f016c.jpeg",jpeg,141481,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_53216ab7-60e7-4c64-9c7c-9b28a7c3390e.jpeg",jpeg,189043,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_da19dd8d-fc37-48a3-8891-c40fba16cbf2.jpeg",jpeg,159456,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_f00c9b01-9af7-4673-99a7-a549ef5351f8.jpeg",jpeg,174474,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Napi összefoglaló (X).jpeg",jpeg,146685,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Összesített pénztárforgalom lekérdező menü.jpeg",jpeg,135476,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénz átvétele egy egységtől menü .jpeg",jpeg,257429,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénztárak karbantartása .jpeg",jpeg,195293,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénztárak karbantartása 2.jpeg",jpeg,157504,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénztárak közötti forgalom főmenüje.jpeg",jpeg,169676,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénztárak közötti pénzforgalom főmenüje.jpeg",jpeg,221681,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénztárak közötti szállításhoz.jpeg",jpeg,283881,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénztárátvétele egy egységtől menü2.jpeg",jpeg,238074,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pillanatnyi pénztár állás kimutatása2 .jpeg",jpeg,92821,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pillanatnyi pénztárállás kimutatása.jpeg",jpeg,89532,PENDING
